City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,nador,35.174,-2.9287,9.14,53,18,2.57,MA,1674529173
424,kupang,-10.1667,123.5833,29.32,74,75,2.06,ID,1674529173
425,takoradi,4.8845,-1.7554,26.08,85,70,2.69,GH,1674528832
426,ostersund,63.1792,14.6357,1.25,100,100,4.63,SE,1674529174
427,kochi,9.9399,76.2602,26.12,74,40,2.21,IN,1674529174
428,ordzhonikidze,52.4411,61.7408,-17.22,99,100,1.95,KZ,1674529175
429,polson,47.6936,-114.1632,-10.11,92,99,0.95,US,1674529175
430,birjand,32.8663,59.2211,-7.74,79,0,2.06,IR,1674529176
431,la ronge,55.1001,-105.2842,-12.86,85,100,3.09,CA,1674529176
432,huilong,31.8111,121.655,-0.04,41,12,12.42,CN,1674529177
433,aguada de cima,40.5229,-8.427,5.42,73,0,3.23,PT,1674529177
434,uribia,11.7139,-72.266,25.93,74,60,10.03,CO,1674529177
435,port-gentil,-0.7193,8.7815,27.47,79,100,5.97,GA,1674529178
436,troitsko-pechorsk,62.7084,56.1964,-13.8,95,25,2.48,RU,1674529178
437,taoudenni,22.6783,-3.9836,16.18,24,0,3.22,ML,1674529179
438,west bay,19.3667,-81.4167,26.04,86,20,3.09,KY,1674529179
439,pindi gheb,33.2402,72.2661,8.52,61,29,3.53,PK,1674529179
440,omsukchan,62.5333,155.8,-27.9,95,100,2.54,RU,1674529180
441,lebowakgomo,-24.2,29.5,17.5,85,0,1.33,ZA,1674529180
442,shasta lake,40.6804,-122.3708,8.37,60,4,3.21,US,1674529181
443,los llanos de aridane,28.6585,-17.9182,14.86,72,100,3.6,ES,1674529181
444,baykit,61.67,96.37,-33.14,99,93,1.64,RU,1674529181
445,imeni poliny osipenko,52.4201,136.4853,-28.7,87,100,1.35,RU,1674529182
446,worpswede,53.2167,8.9333,3.29,92,98,1.93,DE,1674529182
447,tias,28.9611,-13.645,14.82,67,75,5.14,ES,1674529183
448,touros,-5.1989,-35.4608,26.12,78,20,4.23,BR,1674529183
449,guarapari,-20.6667,-40.4975,26.05,94,100,2.28,BR,1674529183
450,olot,42.181,2.4901,2.27,41,100,0.89,ES,1674528954
